Time, Center Speed, Front Right Speed, Back Right Speed, Front Left Speed, Back Left Speed, Front Right Angle,,,
"	Back Right Angle", Front Left Angle, Back Left Angle,,,,,,,
8.52616,0.00335276,0.991032,0.991032,1.00903,1.00903,-0.0080518,0.00809315,-0.00790817,0.00794878
8.6352779,0.00568107,0.991032,0.991033,1.00903,1.00903,-0.00802314,0.00812181,-0.00788002,0.00797693
8.7344824,0.0127591,1.00804,0.99204,1.00804,0.992041,-1.57966,-1.5798,-1.5618,-1.56166
8.8093578,0.0111759,1.00804,0.99204,1.00804,0.992041,-1.57967,-1.57981,-1.56181,-1.56167
8.8991217,0.0141561,1.00804,0.99204,1.00804,0.992041,-1.57965,-1.5798,-1.5618,-1.56165
8.9750369,0.0162981,1.00804,0.99204,1.00804,0.992042,-1.57964,-1.57979,-1.56179,-1.56164
9.0528802,0.0174157,1.00804,0.99204,1.00804,0.992042,-1.57964,-1.57978,-1.56178,-1.56164
9.1277778,0.0145286,1.00804,0.99204,1.00804,0.992041,-1.57965,-1.5798,-1.5618,-1.56165
9.2051863,0.0179745,1.00804,0.99204,1.00804,0.992042,-1.57964,-1.57978,-1.56178,-1.56163
9.2845145,0.0210479,1.00796,0.992114,1.00797,0.992116,-1.57954,-1.57968,-1.56185,-1.5617
9.3678692,0.0223517,1.00763,0.992446,1.00763,0.992447,-1.57916,-1.57929,-1.56221,-1.56208
9.4422731,0.0224449,1.00721,0.992852,1.00721,0.992853,-1.57871,-1.57883,-1.56267,-1.56255
9.5255968,0.0250526,1.00597,0.994071,1.00597,0.994072,-1.57734,-1.57742,-1.56403,-1.56395
9.6074416,0.0276603,1.00369,0.99633,1.00369,0.99633,-1.57482,-1.57485,-1.56657,-1.56654
9.6877596,0.0286847,1.00144,0.998558,1.00144,0.998558,-1.57235,-1.57236,-1.56911,-1.5691
9.7701295,0.0298955,0.999134,1.00087,0.999134,1.00087,-1.56985,-1.56985,-1.5718,-1.5718
9.8722999,0.0358559,0.996497,1.00352,0.996497,1.00352,-1.56685,-1.56688,-1.57478,-1.57475
9.965519,0.035204,0.994126,1.00592,0.994127,1.00592,-1.5642,-1.56428,-1.57755,-1.57747
10.0473921,0.0349246,0.9918,1.00828,0.991802,1.00829,-1.56158,-1.56173,-1.58028,-1.58012
10.1208044,0.0296161,0.989959,1.01017,0.989962,1.01017,-1.55947,-1.55969,-1.58243,-1.5822
10.2422897,0.0244938,0.988489,1.01168,0.988493,1.01168,-1.55776,-1.55806,-1.58415,-1.58384
10.3201884,0.0515953,0.985811,1.01444,0.985823,1.01445,-1.55484,-1.55529,-1.58751,-1.58704
10.4003643,0.0353903,0.985044,1.01523,0.985055,1.01524,-1.55388,-1.55438,-1.58836,-1.58784
10.4757911,0.0349031,0.985572,1.017,0.983276,1.01478,-1.48806,-1.49062,-1.52402,-1.52548
10.5526362,0.0340892,0.986339,1.01871,0.981547,1.01408,-1.42174,-1.42651,-1.45884,-1.46244
10.6458843,0.0266316,0.986415,1.0193,0.980961,1.01402,-1.40597,-1.41133,-1.44367,-1.44784
10.747099,0.0450318,0.986233,1.01923,0.981037,1.0142,-1.41316,-1.41831,-1.451,-1.45493
10.820522,0.0322534,0.985791,1.01889,0.981392,1.01463,-1.43449,-1.43895,-1.47243,-1.47566
10.8998505,0.0336831,0.984599,1.01804,0.982278,1.0158,-1.49012,-1.49278,-1.52842,-1.52982
10.9990783,0.0379981,0.981995,1.01851,0.981909,1.01843,-1.54778,-1.54861,-1.58963,-1.58896
11.1180935,0.0627712,0.974523,1.02637,0.974477,1.02633,-1.54006,-1.54161,-1.59996,-1.59848
11.1944745,0.0538304,0.967914,1.03338,0.96798,1.03344,-1.53362,-1.53598,-1.60978,-1.60731
11.2708897,0.0271946,0.965009,1.03657,0.965055,1.03661,-1.52962,-1.53246,-1.61313,-1.61021
11.3462521,0.0129454,0.9647,1.03693,0.964725,1.03695,-1.52893,-1.53185,-1.61326,-1.6103
12.9314654,0.00195578,0.964699,1.03693,0.964727,1.03696,-1.52898,-1.53189,-1.6133,-1.61034
13.0162821,0.0141002,0.961925,1.0338,0.968044,1.0395,-1.60461,-1.60226,-1.68824,-1.68013
13.1199447,0.00784304,0.965909,1.03011,0.971367,1.03523,-1.60912,-1.60673,-1.68354,-1.67656
13.2295609,0.00133345,0.966996,1.02911,0.972273,1.03407,-1.61032,-1.60794,-1.68225,-1.67556
13.6001051,0.00856817,0.962066,1.03365,0.968188,1.03935,-1.60516,-1.60278,-1.68843,-1.68034
13.7121681,0.00111759,0.956783,1.03858,0.963816,1.04506,-1.59937,-1.59712,-1.69499,-1.68529
13.9805052,0.0069144,0.964886,1.03102,0.970544,1.03632,-1.60844,-1.60602,-1.68517,-1.67788
14.0589036,0.0164151,0.965057,1.02773,0.973779,1.03593,-1.65805,-1.65272,-1.73051,-1.72085
14.1328082,0.0222866,0.966101,1.03153,0.969947,1.03513,-1.58506,-1.58415,-1.66102,-1.65532
14.268218,0.0380692,0.965421,1.03136,0.97017,1.0358,-1.59653,-1.59488,-1.67306,-1.66656
14.3416236,0.0771171,0.962947,1.03788,0.963932,1.0388,-1.53868,-1.541,-1.62625,-1.62225
